CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/29/2019,21:15,BROOKLYN,11213,40.675873,-73.94598,"(40.675873, -73.94598)",,,1190      BERGEN STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4125878,Station Wagon/Sport Utility Vehicle,,,,
05/06/2019,4:58,,,40.733376,-73.86665,"(40.733376, -73.86665)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,4146187,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
04/20/2019,3:30,BROOKLYN,11225,40.663483,-73.9627,"(40.663483, -73.9627)",,,450       FLATBUSH AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4117839,Sedan,Sedan,,,
04/30/2019,16:35,,,40.819283,-73.924034,"(40.819283, -73.924034)",PARK AVENUE                     ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4123311,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/19/2019,8:30,MANHATTAN,10016,40.743782,-73.97352,"(40.743782, -73.97352)",EAST 34 STREET                  ,1 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4117616,Station Wagon/Sport Utility Vehicle,,,,
05/06/2019,16:15,,,40.808002,-73.96391,"(40.808002, -73.96391)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4128328,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/07/2019,21:55,MANHATTAN,10018,40.75537,-73.98746,"(40.75537, -73.98746)",7 AVENUE                        ,WEST 41 STREET,,1,0,1,0,0,0,0,0,,,,,,4127756,,,,,
05/07/2019,13:26,,,,,,Meeker ave                      ,Vandervoort STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,4127827,Sedan,Taxi,,,
04/29/2019,13:00,QUEENS,11369,40.76769,-73.8751,"(40.76769, -73.8751)",,,23-20     95 STREET                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4126491,Sedan,Box Truck,,,
05/10/2019,23:00,,,40.833233,-73.8282,"(40.833233, -73.8282)",BRUCKNER EXPRESSWAY             ,,,9,0,0,0,0,0,9,0,Obstruction/Debris,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,4133283,Sedan,Sedan,Sedan,Tractor Truck Diesel,Pick-up Truck
